Date,SPX_Spot,VIX_Spot,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
3/1/2017,2257.83,12.85,13.775,,,,,,,,,,,
4/1/2017,2270.75,11.85,13.175,,,,,,,,,,,
5/1/2017,2269.00,11.67,13.025,,,,,,,,,,,
6/1/2017,2276.98,11.32,12.875,,,,,,,,,,,
9/1/2017,2268.90,11.56,12.925,14.525,,,,,,,,,,
10/1/2017,2268.90,11.49,12.875,14.475,,,,,,,,,,
11/1/2017,2275.32,11.26,12.525,14.225,,,,,,,,,,
12/1/2017,2270.44,11.54,12.475,14.325,,,,,,,,,,
13/1/2017,2274.64,11.23,12.175,14.225,,,,,,,,,,
17/1/2017,2267.89,11.87,12.175,14.175,,,,,,,,,,
18/1/2017,2271.89,12.48,11.86,14.175,,,,,,,,,,
19/1/2017,2263.69,12.78,,14.225,,,,,,,,,,
20/1/2017,2271.31,11.54,,13.825,,,,,,,,,,
23/1/2017,2265.20,11.77,,13.575,,,,,,,,,,
24/1/2017,2280.07,11.07,,13.025,,,,,,,,,,
25/1/2017,2298.37,10.81,,12.725,,,,,,,,,,
26/1/2017,2296.68,10.63,,12.675,,,,,,,,,,
27/1/2017,2294.69,10.58,,12.525,,,,,,,,,,
30/1/2017,2280.90,11.88,,12.875,,,,,,,,,,
31/1/2017,2278.87,11.99,,12.925,,,,,,,,,,
1/2/2017,2279.55,11.81,,12.675,,,,,,,,,,
2/2/2017,2280.85,11.93,,12.925,,,,,,,,,,
3/2/2017,2297.42,10.97,,12.475,,,,,,,,,,
6/2/2017,2292.56,11.37,,12.475,,,,,,,,,,
7/2/2017,2293.08,11.29,,12.575,13.975,,,,,,,,,
8/2/2017,2294.67,11.45,,12.575,13.975,,,,,,,,,
9/2/2017,2307.87,10.88,,12.025,13.675,,,,,,,,,
10/2/2017,2316.10,10.85,,11.725,13.375,,,,,,,,,
13/2/2017,2328.25,11.07,,11.425,13.075,,,,,,,,,
14/2/2017,2337.58,10.74,,11.175,12.3,,,,,,,,,
15/2/2017,2349.25,11.97,,11.5,12.875,,,,,,,,,
16/2/2017,2347.22,11.76,,,12.975,,,,,,,,,
17/2/2017,2351.16,11.49,,,13.125,,,,,,,,,
21/2/2017,2365.38,11.57,,,13.175,,,,,,,,,
22/2/2017,2362.82,11.74,,,13.225,,,,,,,,,
23/2/2017,2363.81,11.71,,,13.525,,,,,,,,,
24/2/2017,2367.34,11.47,,,13.325,,,,,,,,,
27/2/2017,2369.75,12.09,,,13.275,,,,,,,,,
28/2/2017,2363.64,12.92,,,13.525,,,,,,,,,
1/3/2017,2395.96,12.54,,,13.275,,,,,,,,,
2/3/2017,2381.92,11.81,,,13.275,,,,,,,,,
3/3/2017,2383.12,10.96,,,12.825,,,,,,,,,
6/3/2017,2375.31,11.24,,,12.675,,,,,,,,,
7/3/2017,2368.39,11.45,,,12.625,,,,,,,,,
8/3/2017,2362.98,11.86,,,12.675,,,,,,,,,
9/3/2017,2364.87,12.3,,,12.775,,,,,,,,,
10/3/2017,2372.60,11.66,,,12.525,,,,,,,,,
13/3/2017,2373.47,11.35,,,12.125,,,,,,,,,
14/3/2017,2365.45,12.3,,,12.625,14.075,,,,,,,,
15/3/2017,2385.26,11.63,,,12.275,13.725,,,,,,,,
16/3/2017,2381.38,11.21,,,11.925,13.275,,,,,,,,
17/3/2017,2378.25,11.28,,,11.775,13.275,,,,,,,,
20/3/2017,2373.47,11.34,,,11.625,13.175,,,,,,,,
21/3/2017,2344.02,12.47,,,12.175,13.775,,,,,,,,
22/3/2017,2348.45,12.81,,,12.15,13.925,,,,,,,,
23/3/2017,2345.96,13.12,,,,14.275,,,,,,,,
24/3/2017,2343.98,12.96,,,,13.925,,,,,,,,
27/3/2017,2341.59,12.5,,,,13.575,,,,,,,,
28/3/2017,2358.57,11.53,,,,12.925,,,,,,,,
29/3/2017,2361.13,11.42,,,,12.925,,,,,,,,
30/3/2017,2368.06,11.54,,,,12.825,,,,,,,,
31/3/2017,2362.72,12.37,,,,13.275,,,,,,,,
3/4/2017,2358.84,12.38,,,,13.475,,,,,,,,
4/4/2017,2360.16,11.79,,,,13.225,,,,,,,,
5/4/2017,2352.95,12.89,,,,13.875,,,,,,,,
6/4/2017,2357.49,12.39,,,,13.575,,,,,,,,
7/4/2017,2355.54,12.87,,,,14.025,,,,,,,,
10/4/2017,2357.16,14.05,,,,15.025,14.325,,,,,,,
11/4/2017,2353.78,15.07,,,,15.975,14.525,,,,,,,
12/4/2017,2344.93,15.77,,,,16.275,14.925,,,,,,,
13/4/2017,2328.95,15.96,,,,16.325,15.225,,,,,,,
17/4/2017,2349.01,14.66,,,,15.075,14.325,,,,,,,
18/4/2017,2342.19,14.42,,,,14.725,14.325,,,,,,,
19/4/2017,2338.17,14.93,,,,14.3,14.575,,,,,,,
20/4/2017,2355.84,14.15,,,,,14.325,,,,,,,
21/4/2017,2348.69,14.63,,,,,14.325,,,,,,,
24/4/2017,2374.15,10.84,,,,,12.675,,,,,,,
25/4/2017,2388.61,10.76,,,,,12.475,,,,,,,
26/4/2017,2387.45,10.85,,,,,12.375,,,,,,,
27/4/2017,2388.77,10.36,,,,,12.375,,,,,,,
28/4/2017,2384.20,10.82,,,,,12.275,,,,,,,
1/5/2017,2388.33,10.11,,,,,11.825,,,,,,,
2/5/2017,2391.17,10.59,,,,,11.825,,,,,,,
3/5/2017,2388.13,10.68,,,,,12.075,,,,,,,
4/5/2017,2389.52,10.46,,,,,11.725,,,,,,,
5/5/2017,2399.29,10.57,,,,,11.775,,,,,,,
8/5/2017,2399.38,9.77,,,,,11.425,,,,,,,
9/5/2017,2396.92,9.96,,,,,11.425,12.475,,,,,,
10/5/2017,2399.63,10.21,,,,,11.525,12.475,,,,,,
11/5/2017,2394.44,10.6,,,,,11.425,12.625,,,,,,
12/5/2017,2390.90,10.4,,,,,11.225,12.425,,,,,,
15/5/2017,2402.32,10.42,,,,,10.825,12.175,,,,,,
16/5/2017,2400.67,10.65,,,,,11.075,12.075,,,,,,
17/5/2017,2357.03,15.59,,,,,12.2,14.225,,,,,,
18/5/2017,2365.72,14.66,,,,,,14.275,,,,,,
19/5/2017,2381.73,12.04,,,,,,12.725,,,,,,
22/5/2017,2394.02,10.93,,,,,,12.225,,,,,,
23/5/2017,2398.42,10.72,,,,,,12.325,,,,,,
24/5/2017,2404.39,10.02,,,,,,11.975,,,,,,
25/5/2017,2415.07,9.99,,,,,,12.025,,,,,,
26/5/2017,2415.82,9.81,,,,,,11.925,,,,,,
30/5/2017,2412.91,10.38,,,,,,11.825,,,,,,
31/5/2017,2411.80,10.41,,,,,,11.825,,,,,,
1/6/2017,2430.06,9.89,,,,,,11.625,,,,,,
2/6/2017,2439.07,9.75,,,,,,11.625,,,,,,
5/6/2017,2436.10,10.07,,,,,,11.775,,,,,,
6/6/2017,2429.33,10.45,,,,,,11.975,,,,,,
7/6/2017,2433.14,10.39,,,,,,11.875,,,,,,
8/6/2017,2433.79,10.16,,,,,,11.625,,,,,,
9/6/2017,2431.77,10.7,,,,,,11.725,,,,,,
12/6/2017,2429.39,11.46,,,,,,11.875,,,,,,
13/6/2017,2440.35,10.42,,,,,,11.425,12.275,,,,,
14/6/2017,2437.92,10.64,,,,,,11.475,12.275,,,,,
15/6/2017,2432.46,10.9,,,,,,11.525,12.425,,,,,
16/6/2017,2433.15,10.38,,,,,,11.325,12.325,,,,,
19/6/2017,2453.46,10.37,,,,,,10.875,12.125,,,,,
20/6/2017,2437.03,10.86,,,,,,11.125,12.075,,,,,
21/6/2017,2435.61,10.75,,,,,,11.15,12.175,,,,,
22/6/2017,2434.50,10.48,,,,,,,11.975,,,,,
23/6/2017,2438.30,10.02,,,,,,,11.875,,,,,
26/6/2017,2439.07,9.9,,,,,,,11.625,,,,,
27/6/2017,2419.38,11.06,,,,,,,12.025,,,,,
28/6/2017,2440.69,10.03,,,,,,,11.675,,,,,
29/6/2017,2419.70,11.44,,,,,,,12.025,,,,,
30/6/2017,2423.41,11.18,,,,,,,12.325,,,,,
3/7/2017,2429.01,11.22,,,,,,,12.575,,,,,
5/7/2017,2432.54,11.07,,,,,,,12.325,,,,,
6/7/2017,2409.75,12.54,,,,,,,13.025,,,,,
7/7/2017,2425.18,11.19,,,,,,,12.575,,,,,
10/7/2017,2427.43,11.11,,,,,,,12.225,,,,,
11/7/2017,2425.53,10.89,,,,,,,12.125,12.675,,,,
12/7/2017,2443.25,10.3,,,,,,,11.525,12.425,,,,
13/7/2017,2447.83,9.9,,,,,,,11.075,12.375,,,,
14/7/2017,2459.27,9.51,,,,,,,10.575,12.025,,,,
17/7/2017,2459.14,9.82,,,,,,,10.275,11.925,,,,
18/7/2017,2460.61,9.89,,,,,,,10.125,11.775,,,,
19/7/2017,2473.83,9.79,,,,,,,9.85,11.525,,,,
20/7/2017,2473.45,9.58,,,,,,,,11.475,,,,
21/7/2017,2472.54,9.36,,,,,,,,11.375,,,,
24/7/2017,2469.91,9.43,,,,,,,,11.325,,,,
25/7/2017,2477.13,9.43,,,,,,,,11.175,,,,
26/7/2017,2477.83,9.6,,,,,,,,11.275,,,,
27/7/2017,2475.42,10.11,,,,,,,,11.425,,,,
28/7/2017,2472.10,10.29,,,,,,,,11.375,,,,
31/7/2017,2470.30,10.26,,,,,,,,11.275,,,,
1/8/2017,2476.35,10.09,,,,,,,,11.225,,,,
2/8/2017,2477.57,10.28,,,,,,,,11.275,,,,
3/8/2017,2472.16,10.44,,,,,,,,11.325,,,,
4/8/2017,2476.83,10.03,,,,,,,,11.275,,,,
7/8/2017,2480.91,9.93,,,,,,,,11.125,,,,
8/8/2017,2474.92,10.96,,,,,,,,11.525,12.925,,,
9/8/2017,2474.02,11.11,,,,,,,,11.725,13.075,,,
10/8/2017,2438.21,16.04,,,,,,,,15.525,15.175,,,
11/8/2017,2441.32,15.51,,,,,,,,15.425,15.275,,,
14/8/2017,2465.84,12.33,,,,,,,,12.45,13.175,,,
15/8/2017,2464.61,12.04,,,,,,,,12.325,13.175,,,
